,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,323.4883511543274,2.203920841217041,-2.784689231001139,-2.4663510905307655,0.1,{'gamma': 0.1},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,1.1270804216337915,0.5001254494456507,0.0022722514584795784,0.0017222735206232893
1,335.7763433456421,1.992082118988037,-2.784689231001139,-2.4663510905307655,0.2,{'gamma': 0.2},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,6.520620391134786,0.7350542894044553,0.0022722514584795784,0.0017222735206232893
2,332.3770658969879,1.920099639892578,-2.784689231001139,-2.4663510905307655,0.3,{'gamma': 0.3},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,6.238717827251037,0.38954157434818854,0.0022722514584795784,0.0017222735206232893
3,333.781737613678,1.8174602031707763,-2.784689231001139,-2.4663510905307655,0.4,{'gamma': 0.4},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,5.20761535898891,0.1598422966710519,0.0022722514584795784,0.0017222735206232893
4,339.72103729248045,1.5053336143493652,-2.784689231001139,-2.4663510905307655,0.5,{'gamma': 0.5},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,3.091546597784628,0.2079985995032204,0.0022722514584795784,0.0017222735206232893
5,337.3709424972534,1.8304666042327882,-2.784689231001139,-2.4663510905307655,0.6,{'gamma': 0.6},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,5.556656920671019,0.42608898872880485,0.0022722514584795784,0.0017222735206232893
6,335.1732678413391,1.6409167766571044,-2.784689231001139,-2.4663510905307655,0.7,{'gamma': 0.7},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,3.5805703270470337,0.3025417923014648,0.0022722514584795784,0.0017222735206232893
7,335.51367716789247,1.6656018257141114,-2.784689231001139,-2.4663510905307655,0.8,{'gamma': 0.8},1,-2.786036473193424,-2.4659528946330735,-2.786815704464293,-2.4643944539170715,-2.7812430615901946,-2.469247467921674,-2.782725266776133,-2.4650059563806437,-2.78662487348748,-2.4671546798013657,3.469250804758626,0.3929306837907311,0.0022722514584795784,0.0017222735206232893
